Empresa,1T_Dívida Líquida,1T_EBIT,1T_Lucro Líquido,1T_ROE,1T_Receita Líquida,2T_Dívida Líquida,2T_EBIT,2T_Lucro Líquido,2T_ROE,2T_Receita Líquida,3T_Dívida Líquida,3T_EBIT,3T_Lucro Líquido,3T_ROE,3T_Receita Líquida,Classificação
SUZB3 - 2023,55659605000.0,4306288000.0,5242793000.0,13.71,11276383000.0,54757986000.0,3068677000.0,5077623000.0,11.91,9159634000.0,58077303000.0,1683495000.0,-728757000.0,-1.76,8948013000.0,1
RENT3 - 2023,29868066000.0,1639584000.0,521549000.0,2.51,6825668000.0,27121205000.0,820324000.0,-88771000.0,-0.35,6846159000.0,28226635000.0,1631791000.0,664668000.0,2.64,7321957000.0,1
WEGE3 - 2023,-2216187000.0,1538193000.0,1323941000.0,8.79,7696157000.0,-2697737000.0,1681273000.0,1409787000.0,8.89,8171322000.0,-2874738000.0,1581169000.0,1345892000.0,8.14,8074837000.0,1
CRFB3 - 2023,18360000000.0,876000000.0,-112000000.0,-0.56,25793000000.0,15221000000.0,769000000.0,-203000000.0,-1.27,27466000000.0,16822000000.0,913000000.0,194000000.0,0.67,26986000000.0,1
RRRP3 - 2023,358619000.0,72677000.0,16103000.0,0.3,573698000.0,1597173000.0,74907000.0,79388000.0,1.47,836582000.0,7759905000.0,607192000.0,-77453000.0,-1.61,2360259000.0,0
RADL3 - 2023,1904141000.0,432683000.0,198018000.0,3.52,7931346000.0,2033170000.0,642979000.0,343081000.0,6.11,8442315000.0,2484941000.0,530139000.0,268145000.0,4.61,8675809000.0,1
RDOR3 - 2023,2773615000.0,866309000.0,303808000.0,1.3,11315224000.0,2507876000.0,1121880000.0,435358000.0,1.82,11678702000.0,2042409000.0,1414046000.0,760303000.0,3.31,11812334000.0,1
BRFS3 - 2023,15642110000.0,-179360000.0,-1023630000.0,-10.07,13177970000.0,15911957000.0,-361283000.0,-1337274000.0,-14.85,12204971000.0,10918458000.0,452302000.0,-262387000.0,-2.74,13806206000.0,1
VBBR3 - 2023,12040000000.0,429000000.0,81000000.0,0.64,39037000000.0,11236000000.0,524000000.0,133000000.0,1.04,37184000000.0,9567000000.0,2083000000.0,1255000000.0,9.26,43063000000.0,1
ANIM3 - 2023,2744600000.0,157200000.0,-41350000.0,-2.88,954400000.0,4168325000.0,131062000.0,-57815000.0,-3.95,932424000.0,4000682000.0,143317000.0,-12528000.0,-1.19,940408000.0,1
CSAN3 - 2023,44669678000.0,3154581000.0,-418732000.0,-4.61,9631327000.0,44503981000.0,2229553000.0,-446741000.0,-5.82,10010456000.0,47175290000.0,3701476000.0,1727007000.0,3.67,10253570000.0,1
TIMS3 - 2023,5851610000.0,779511000.0,412436000.0,1.64,5640155000.0,1451000000.0,1039000000.0,626000000.0,2.47,5863000000.0,390829000.0,1218872000.0,716005000.0,2.8,6055319000.0,1
ECOR3 - 2023,10493716000.0,601698000.0,113032000.0,4.67,1604337000.0,12192841000.0,683879000.0,123712000.0,4.73,2009554000.0,12908175000.0,813229000.0,230314000.0,7.95,2568941000.0,1
ENEV3 - 2023,17604834000.0,753213000.0,222668000.0,1.77,2459203000.0,16576348000.0,806827000.0,389928000.0,3.01,2523334000.0,16066147000.0,493514000.0,-69388000.0,-0.67,2380487000.0,1
BRKM5 - 2023,22425699000.0,496069000.0,242448000.0,2.36,19446048000.0,21953684000.0,-1640211000.0,-823348000.0,-10.65,17756177000.0,23848533000.0,-620118000.0,-2558092000.0,-48.15,16675501000.0,1
STBP3 - 2023,-248467000.0,94290000.0,45860000.0,2.14,426940000.0,-177527000.0,162926000.0,94399000.0,4.33,507253000.0,-147341000.0,195082000.0,139038000.0,6.34,533694000.0,1
BEEF3 - 2023,7704769000.0,400861000.0,113964000.0,22.45,6381473000.0,7696166000.0,571405000.0,120732000.0,28.8,7276483000.0,8964437000.0,574689000.0,141027000.0,24.76,7067636000.0,0
